Federated Investors, Inc.;Federated	Federated
Cumberland Pharmaceuticals Inc.	Cumberland Pharmaceuticals Inc.
Assertio Therapeutics, Inc.;Assertio	Assertio
Dynavax Technologies Corporation;Dynavax	Dynavax
Endo International plc	远藤国际公司
Endocyte, Inc.	Endocyte, Inc.
Avadel Pharmaceuticals plc	Avadel Pharmaceuticals plc
Impax Laboratories, Inc.	Impax Laboratories, Inc.
Intellipharmaceutics International Inc.;Intellipharmaceutics	Intellipharmaceutics
Ironwood Pharmaceuticals, Inc.;Ironwood	Ironwood
Ionis Pharmaceuticals, Inc.;Ionis Pharmaceuticals	Ionis Pharmaceuticals
Jazz Pharmaceuticals public limited company;Jazz Pharmaceuticals	爵士制药
Assembly Biosciences, Inc.;Assembly Biosciences	Assembly Biosciences
American Superconductor Corporation	American Superconductor Corporation
Franklin Electric Co., Inc.;Franklin Electric	Franklin Electric
Innophos Holdings, Inc.;Innophos	Innophos
Iridium Communications Inc.;Iridium	铱星
Iridium Communications Inc.;Iridium	铱星
Columbia Sportswear Company;Columbia	哥伦比亚
Coca-Cola Bottling Co. Consolidated	Coca-Cola Bottling Co. Consolidated
National Beverage Corp.	National Beverage Corp.
LRAD Corporation;LRAD	LRAD
Cool Holdings, Inc.	Cool Holdings, Inc.
Ituran Location and Control Ltd.	Ituran Location and Control Ltd.
Alico, Inc.	Alico, Inc.
Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria;Cresud	Cresud
Core-Mark Holding Company, Inc.;Core-Mark	Core-Mark
Lianluo Smart Limited;Lianluo Smart	联络智能
China Finance Online Co. Limited;China Finance Online	中国金融在线
Credit Suisse Group AG;Credit Suisse Group	瑞信集团
Gulf Resources, Inc.;Gulf Resources	海湾资源
China XD Plastics Company Limited;China XD	中国鑫达
Shanda Games Limited;SHANDA GAMES	盛大游戏
Hollysys Automation Technologies Ltd.;Hollysys	和利时
The China Fund, Inc.;THE CHINA FUND	中国基金
Actions Semiconductor Co., Ltd.;ACTIONS	炬力集成
51job, Inc.;51job	前程无忧
China Telecom Corporation Limited;CHINA TELECOM	中国电信
Huazhu Group Limited;Huazhu Group	华住酒店
China Natural Resources, Inc.	中国天然资源有限公司
Global Sources Ltd.	Global Sources Ltd.
L&L Energy, Inc;L&L ENERGY	利维能源
Jinpan International Limited;JINPAN INTERNATIONAL	海南金盘
KongZhong Corp;KONGZHONG	空中网
Sky-mobi Limited;SKY MOBI	斯凯
Hanwha Q CELLS Co., Ltd.;Hanwha Q CELLS	韩华 Q CELLS
Hongli Clean Energy Technologies Corp.	泓利煤焦
ALUMINUM CORPORATION OF CHINA LIMITED;CHALCO	中国铝业
Le Gaga Holdings Limited;LE GAGA	利农国际
